new.sitename,new.plotname,old.sitename,old.plotname,date.added.here,notes
Tambopata-Candamo Reserve permanent plot TAM-05,terra firma unmanaged primary forest,Tambopata- Candamo Reserve TAM05,Tropical Evergreen Forest,7/16/19,merge duplicate sites
Tambopata-Candamo Reserve permanent plot TAM-06,"terra firma, floodplain unmanaged primary forest",Tambopata- Candamo Reserve TAM06,Tropical Evergreen Forest,7/16/19,merge duplicate sites
Tambopata-Candamo Reserve permanent plot TAM-05,terra firma unmanaged primary forest,Tambopata,Tropical Evergreen Forest,7/16/19,merge duplicate sites
Pasoh Forest Reserve,primary forest,Pasoh Forest Reserve,Tropical Evergreen Forest,8/3/19,merge duplicate sites
Pasoh Forest Reserve,primary forest,Pasoh Forest,Tropical Evergreen Forest,8/3/19,merge duplicate sites
Mt Odaigahara,NI,Nara,Temperate Deciduous Forest,8/3/19,merge duplicate sites
Mt Kasuga,NI,Nara,Temperate Evergreen Forest,8/3/19,merge duplicate sites
Teshio Experimental Forest,CC-LaG experiment site (TSE),Teshio Experimental Forest,Aggrading Temperate Deciduous Forest. Stand established around 2003,8/4/19,merge duplicate plots
Teshio Experimental Forest,CC-LaG experiment site (TSE),Teshio,clear-cut 13.7ha area,8/4/19,merge duplicate sites/plots
Teshio Experimental Forest,CC-LaG experiment site (TSE),Teshio,mixed forest,8/4/19,merge duplicate sites/plots
Teshio Experimental Forest,CC-LaG experiment site (TSE),Teshio,replant with hybrid larch,8/4/19,merge duplicate sites/plots
Teshio Experimental Forest,CC-LaG experiment site (TSE),Teshio,Teshio Experimental Forest,8/4/19,merge duplicate sites/plots
Teshio Experimental Forest,CC-LaG experiment site (TSE),Teshio Experimental Forest,Temperate Deciduous Forest,8/4/19,merge duplicate sites/plots
Teshio Experimental Forest,CC-LaG experiment site (TSE),Teshio Experimental Forest,Aggrading Temperate Deciduous Forest. Stand established around 2003,8/4/19,merge duplicate sites/plots
Teshio Experimental Forest,CC-LaG experiment site (TSE),Teshio Experimental Forest,Aggrading Temperate Deciduous Forest. Stand established around 2002,8/4/19,merge duplicate sites/plots
Nouragues Grand Plateau,old-growth tropical forest.NOR2,Nouragues Grand Plateau,terra firma NOR-02,8/4/19,merge duplicate plots
Nouragues Petit Plateau,old-growth tropical forest.NOR1,Nouragues Petit Plateau,terra firma NOR-01,8/4/19,merge duplicate plots
Bonanza 5A,Boreal Evergreen Forest. Stand established around 1798,BNZ LTER-5A,Boreal Evergreen Forest. Stand established around 1798,8/4/19,merge duplicate sites/plots
Bonanza 5C,Boreal Evergreen Forest. Stand established around 1828,BNZ LTER-5C,Boreal Evergreen Forest. Stand established around 1828,8/4/19,merge duplicate sites/plots
Bonanza 5D,Boreal Evergreen Forest. Stand established around 1838,BNZ LTER-5D,Boreal Evergreen Forest. Stand established around 1838,8/4/19,merge duplicate sites/plots
Bonanza 5A,Boreal Evergreen Forest. Stand established around 1798,Bonanza 5A,unmanaged,8/4/19,merge duplicate sites/plots
Bonanza 5C,Boreal Evergreen Forest. Stand established around 1828,Bonanza 5C,unmanaged,8/4/19,merge duplicate sites/plots
Bonanza 5D,Boreal Evergreen Forest. Stand established around 1838,Bonanza 5D,unmanaged,8/4/19,merge duplicate sites/plots
Bonanza Creek high-elevation area with no permafrost (high-np),Boreal Evergreen Forest. Stand established around 1891,Bonanza 6.1,unmanaged,8/4/19,merge duplicate sites/plots
Bonanza Creek mid-elevation deep permafrost area (mid-dp),Boreal Evergreen Forest. Stand established around 1926,Bonanza 6.2,unmanaged,8/4/19,merge duplicate sites/plots
Bonanza Creek low-elevation shallow permafrost (low-sp),Boreal Evergreen Forest. Stand established around 1881,Bonanza 6.3,unmanaged,8/4/19,merge duplicate sites/plots
Bonanza Creek high-elevation area with no permafrost (high-np),Boreal Evergreen Forest. Stand established around 1891,Bonanza Creek,Boreal Evergreen Forest. Stand established around 1891,8/4/19,merge duplicate sites/plots
Bonanza Creek mid-elevation deep permafrost area (mid-dp),Boreal Evergreen Forest. Stand established around 1926,Bonanza Creek,Boreal Evergreen Forest. Stand established around 1926,8/4/19,merge duplicate sites/plots
Bonanza Creek low-elevation shallow permafrost (low-sp),Boreal Evergreen Forest. Stand established around 1881,Bonanza Creek,Boreal Evergreen Forest. Stand established around 1881,8/4/19,merge duplicate sites/plots
Takayama,secondary deciduous forest,Takayama Experimental Field Station,Temperate Deciduous Forest,9/3/19,merge duplicate sites/plots
Takayama,secondary deciduous forest,Takayama Research Station,Temperate Deciduous Forest,9/3/19,merge duplicate sites/plots
Takayama,secondary deciduous forest,Takayama Experimental Field Station,Temperate Deciduous Forest. Stand established around 1954,9/3/19,merge duplicate sites/plots
Takayama,secondary deciduous forest,Takayama Experimental Field Station,Aggrading Temperate Deciduous Forest. Stand established around 1960,9/3/19,merge duplicate sites/plots
Stillberg,Alpine Larix-Pine stand planted in 1975.,Stillberg,Boreal Evergreen Forest. Stand established around 1975,9/3/19,merge duplicate sites/plots
Stillberg,Alpine Larix-Pine stand planted in 1975.,Stillberg,Temperate Mixed Forest. Stand established around 1975,9/3/19,merge duplicate sites/plots
Stillberg,Alpine Larix-Pine stand planted in 1975.,Stillberg,Temperate Deciduous Forest. Stand established around 1975,9/3/19,merge duplicate sites/plots
Stillberg,Alpine Larix-Pine stand planted in 1975 with Warming (+4 C) treatment. ,Stillberg,Boreal Evergreen Forest with Warming (+4 C) treatment. Stand established around 1975,9/3/19,merge duplicate sites/plots
Stillberg,Alpine Larix-Pine stand planted in 1975 with CO2 (575 ppm) treatment. ,Stillberg,Managed Temperate Mixed Forest with CO2 (575 ppm) treatment. Stand established around 1975,9/3/19,merge duplicate sites/plots
Stillberg,Alpine Larix-Pine stand planted in 1975 with CO2 (575 ppm) treatment. ,Stillberg,Managed Temperate Deciduous Forest with CO2 treatment. Stand established around 1975,9/3/19,merge duplicate sites/plots
Skogaryd,Picea abies dominated stand on drained organic soil. Stand established in 1951.,Skogaryd,Temperate Evergreen Forest. Stand established around 1951,9/3/19,fix problematic plot names
Skogaryd,Picea abies dominated stand on drained organic soil. Stand established in 1951.,Skogaryd,Boreal Evergreen Forest. Stand established around 1951,9/3/19,fix problematic plot names
Skogaryd,Picea abies dominated stand on drained organic soil with Fertilization (3.3 t/ha) treatment. Stand established in 1951.,Skogaryd,Boreal Evergreen Forest with Fertilization (3.3 t/ha) treatment. Stand established around 1951,9/3/19,fix problematic plot names
Skogaryd,Picea abies dominated stand on drained organic soil with Fertilization (5.5 t/ha) treatment. Stand established in 1951.,Skogaryd,Boreal Evergreen Forest with Fertilization (5.5 t/ha) treatment. Stand established around 1951,9/3/19,fix problematic plot names
Sambong Exhibition Forests,Aggrading Temperate Deciduous Needleleaf Forest. Stand established around 1966,Sambong Exhibition Forests,Temperate Deciduous Forest. Stand established around 1966,9/3/19,fix problematic plot names
Sambong Exhibition Forests,Aggrading Temperate Deciduous Needleleaf Forest. Stand established around 1966,Sambong Exhibition Forests,Aggrading Temperate Evergreen Forest. Stand established around 1966,9/3/19,fix problematic plot names
Morgan Monroe State Forest (MMSF),Managed Temperate Deciduous Forest. Stand established around 1918,Morgan-Monroe State Forest,Temperate Deciduous Forest,9/4/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve flux site (CN-Din),primary evergreen broadleaf tropical forest,Dinghushan (DHS),primary forest,9/4/19,clarify name
Dinghushan Biosphere Reserve flux site (CN-Din),primary evergreen broadleaf tropical forest,Dinghushan Biosphere Reserve,Subtropical Evergreen Forest. Stand established around 1604,9/4/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan MEBF,unmanaged,9/4/19,clarify name
Dinghushan Biosphere Reserve,coniferous and broadleaf mixed forest (MF),Dinghushan MF,unmanaged,9/4/19,clarify name
Dinghushan Biosphere Reserve,Masson pine forest (MPF). Stand established around 1950.,Dinghushan MPF,unmanaged,9/4/19,clarify name
Dinghushan Biosphere Reserve,Masson pine forest (MPF). Stand established around 1950.,Dinghushan Biosphere Reserve,Aggrading Subtropical Evergreen Forest. Stand established around 1948,9/4/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF). Stand established around 1903.,Dinghushan Biosphere Reserve,Subtropical Evergreen Forest. Stand established around 1903,9/4/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Masson pine forest (MPF). Stand established around 1950.,Dinghushan Biosphere Reserve,Subtropical Evergreen Forest. Stand established around 1957,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Masson pine forest (MPF) with Drought treatment. Stand established around 1950.,Dinghushan Biosphere Reserve,Subtropical Evergreen Forest with Drought treatment. Stand established around 1957,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Masson pine forest (MPF) with irrigation (2x precipitation) treatment. Stand established around 1950.,Dinghushan Biosphere Reserve,Subtropical Evergreen Forest with Double precipitation treatment. Stand established around 1957,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Masson pine forest (MPF) with irrigation (2x precipitation) treatment. Stand established around 1950.,Dinghushan Forest Ecosystem Research Station-PF,Aggrading Subtropical Evergreen Forest with Irrigation (2x precip) treatment. Stand established around 1958,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Masson pine forest (MPF). Stand established around 1950.,Dinghushan Forest Ecosystem Research Station-PF,Aggrading Subtropical Evergreen Forest. Stand established around 1958,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF) with Drought treatment.,Dinghushan Biosphere Reserve,Subtropical Evergreen Forest with Drought treatment. Stand established around 1604,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF) with irrigation (2x precipitation) treatment,Dinghushan Biosphere Reserve,Subtropical Evergreen Forest with Double precipitation treatment. Stand established around 1604,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF) with irrigation (2x precipitation) treatment,Dinghushan Forest Ecosystem Research Station-BF,Subtropical Evergreen Forest with Irrigation (2x precip) treatment. Stand established around 1608,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan Forest Ecosystem Research Station-BF,Subtropical Evergreen Forest. Stand established around 1608,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF). Stand established around 1903.,Dinghushan Forest Ecosystem Research Station-MF,Subtropical Evergreen Forest. Stand established around 1908,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF). Stand established around 1903.,Dinghushan Biosphere Reserve,Subtropical Mixed Forest. Stand established around 1907,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF) with irrigation (2x precipitation) treatment. Stand established around 1903.,Dinghushan Biosphere Reserve,Subtropical Mixed Forest with Double precipitation treatment. Stand established around 1907,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF) with Drought treatment. Stand established around 1903.,Dinghushan Biosphere Reserve,Subtropical Mixed Forest with Drought treatment. Stand established around 1907,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF) with irrigation (2x precipitation) treatment. Stand established around 1903.,Dinghushan Forest Ecosystem Research Station-MF,Subtropical Evergreen Forest with Irrigation (2x precip) treatment. Stand established around 1908,9/5/19,merge duplicate sites/plots
-,-,Dinghushan Biosphere Reserve-MF,Tropical Evergreen Forest. Stand established around 1612,9/5/19,removed records
-,-,Dinghushan Biosphere Reserve-MF,Tropical Evergreen Forest. Stand established around 1932,9/5/19,removed records
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan Biosphere Reserve,Tropical Evergreen Forest,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan Biosphere Reserve-BF,Tropical Evergreen Forest. Stand established around 1611,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan Biosphere Reserve-BF,Subtropical Evergreen Forest. Stand established around 1611,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan Biosphere Reserve,Subtropical Evergreen Forest. Stand established around 1604,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan-BF,Tropical Deciduous Forest. Stand established around 1601,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan-MEBF,Subtropical Evergreen Forest. Stand established around 1603,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan Biosphere Reserve,Subtropical Deciduous Forest. Stand established around 1604,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan Biosphere Reserve,Tropical Evergreen Forest. Stand established around 1604,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan Mountain National Reserve,Subtropical Evergreen Forest. Stand established around 1603,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan Nature Reserve,Subtropical Evergreen Forest,9/5/19,merge duplicate sites/plots. OLDER STANDS ONLY
-,-,Luo Site 4700.Dinghushan,evergreen broadleaved forest,9/5/19,removed records
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF). Stand established around 1903.,Dinghushan Nature Reserve,Subtropical Evergreen Forest,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Masson pine forest (MPF). Stand established around 1950.,Dinghushan-MPF,Aggrading Subtropical Evergreen Forest. Stand established around 1948,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF). Stand established around 1903.,Dinghushan-MF,Subtropical Evergreen Forest. Stand established around 1893,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF). Stand established around 1903.,Dinghushan Mountain National Reserve,Subtropical Evergreen Forest. Stand established around 1953,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Masson pine forest (MPF). Stand established around 1950.,Dinghushan Mountain National Reserve,Subtropical Evergreen Forest,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan,Subtropical Evergreen Forest,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Secondary coniferous and broadleaf mixed forest (MF). Stand established around 1941,Dinghushan-MF,Tropical Mixed Forest. Stand established around 1941,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Secondary conifer forest (CF). Stand established around 1941,Dinghushan-PF,Tropical Evergreen Forest. Stand established around 1941,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF),Dinghushan-MF,Subtropical Evergreen Forest. Stand established around 1893,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Masson pine forest (MPF). Stand established around 1950.,Dinghushan-MPF,Aggrading Subtropical Evergreen Forest. Stand established around 1948,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Masson pine forest (MPF) with acid rain (pH 4.5) treatment. Stand established around 1950.,Dinghushan Forest Ecosystem Research Station,Subtropical Evergreen Forest with Irrigation (pH 4.5) treatment. Stand established around 1950,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Masson pine forest (MPF) with acid rain (pH 4.5) treatment. Stand established around 1950.,Dinghushan Forest Ecosystem Research Station,Subtropical Evergreen Forest with Irrigation (pH 4.5) treatment. Stand established around 1951,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF) with acid rain (pH 4.5) treatment. Stand established around 1903.,Dinghushan Forest Ecosystem Research Station,Subtropical Evergreen Forest with Irrigation (pH 4.5) treatment. Stand established around 1900,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF) with acid rain (pH 4.5) treatment. Stand established around 1903.,Dinghushan Forest Ecosystem Research Station,Subtropical Evergreen Forest with Irrigation (pH 4.5) treatment. Stand established around 1901,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF) with acid rain (pH 4.5) treatment,Dinghushan Forest Ecosystem Research Station,Subtropical Evergreen Forest with Irrigation (pH 4.5) treatment. Stand established around 1610,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF) with acid rain (pH 4.5) treatment,Dinghushan Forest Ecosystem Research Station,Subtropical Evergreen Forest with Irrigation (pH 4.5) treatment. Stand established around 1611,9/5/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF) with Fertilized (5 gN/m2/yr) treatment,Dinghushan Biosphere Reserve,Tropical Evergreen Forest with Fertilized (5 gN/m2/yr) treatment. Stand established around 1604,9/6/19,standardized names
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF) with Fertilized (10 gN/m2/yr) treatment,Dinghushan Biosphere Reserve,Tropical Evergreen Forest with Fertilized (10 gN/m2/yr) treatment. Stand established around 1604,9/6/19,standardized names
Dinghushan Biosphere Reserve,primary evergreen broadleaf tropical forest (MEBF) with Fertilized (15 gN/m2/yr) treatment,Dinghushan Biosphere Reserve,Tropical Evergreen Forest with Fertilized (15 gN/m2/yr) treatment. Stand established around 1604,9/6/19,standardized names
Dinghushan Biosphere Reserve,Secondary coniferous and broadleaf mixed forest (MF). Stand established around 1924,Dinghushan Biosphere Reserve,Subtropical Mixed Forest. Stand established around 1924,9/6/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Secondary conifer forest (CF). Stand established around 1934,Dinghushan Biosphere Reserve,Subtropical Mixed Forest. Stand established around 1934,9/6/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,secondary coniferous and broadleaf mixed forest (MF). Stand established around 1903.,Dinghushan Biosphere Reserve-CF,Subtropical Evergreen Forest. Stand established around 1911,9/6/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Secondary conifer forest (CF). Stand established around 1934,Dinghushan Nature Reserve,Aggrading Subtropical Evergreen Forest. Stand established around 1933,9/6/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Secondary coniferous and broadleaf mixed forest (MF). Stand established around 1924,Dinghushan Biosphere Reserve-MF,Tropical Evergreen Forest. Stand established around 1932,9/6/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Secondary conifer forest (CF). Stand established around 1934,Dinghushan 7.pine forest,pine forest (PF),9/6/19,merge duplicate sites/plots
Dinghushan Biosphere Reserve,Secondary coniferous and broadleaf mixed forest (MF). Stand established around 1924,Dinghushan 7.mixed forest,pine and broadleaf mixed forest (PBMF),9/6/19,merge duplicate sites/plots
