history.ID,sites.sitename,plot.name,plot.area,event.sequence,date,date.loc,hist.cat,hist.type,est.regrowth.assumed.same.year,level,units,percent.mortality,hist.notes,plothistory.ID.v1,
9.01,Aguas Claras,teak plantation,NAC,1,1979,8.5,Regrowth,Planted,1,NA,NA,NA,"established in 1978-1979. These are small-scale plantations of about 5 ha each, and have received very little management, with only natural thinning and no undergrowth removal",1897,
9.02,Aguas Claras,teak plantation,NAC,2,1979,8.5,Establishment,Establishment of oldest trees,0,NA,NA,NA,NA,2231,
10.01,Agumbe,Mature Rain forest,0.44,1,NAC,9,No.info,NAC,NA,NA,NA,NA,NA,2061,
11.01,Aheden 2,NI,NAC,1,1953,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,Age method: Tree rings. No information.,NA,
11.02,Aheden 2,NI,NAC,2,1953,8,Regrowth,Initiation of post-disturbance cohort (planted or natural),1,NA,NA,NA,Age method: Tree rings. No information.,NA,
12.01,Aheden,unmanaged,NAC,1,1815,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,"Age method: Tree rings. Natural unmanaged, forest fires and reindeer grazing",NA,
12.02,Aheden,unmanaged,NAC,2,NAC,9,Disturbance,Burned,NA,NA,NA,<100%,"Natural unmanaged, forest fires and reindeer grazing",NA,
12.03,Aheden,unmanaged,NAC,3,NAC,9,Disturbance,Grazed,NA,NA,NA,<100%,"Natural unmanaged, forest fires and reindeer grazing",NA,
13.01,Ailao,old-growth subtropical Asian evergreen forest,NAC,1,NAC,9,No.info,NAC,NA,NA,NA,NA,NA,NA,
14.01,Akou,plantation forest,NAC,1,1987,8,Regrowth,Planted,1,15000,plants ha-1,NA,3-year-old seedlings planted at density of 1-2 plants m-2. Planting density assumes 1.5 plants m-2.,NA,
14.02,Akou,plantation forest,NAC,2,1987,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,NA,NA,
14.03,Akou,plantation forest,NAC,3,1996,8,Disturbance,Cut,NA,NA,NA,NAC,planted Pinus thunbergii cut and removed because of pine-wilt disease,NA,
15.01,Alaska - interior,subartic black spruce forest,NAC,1,NAC,9,No.info,NAC,NA,NA,NA,NA,NA,NA,
16.01,Alaskan coast,"Tsuga heterophylla, Chamaecyparis nootkatensis, T. mertensiana",NAC,1,NAC,9,No.info,NAC,NA,NA,NA,NA,NA,NA,
17.01,Alaska,"Picea glauca, P. marina, Populus/Alnus, Betula papyrifera",NAC,1,NAC,9,No.info,NAC,NA,NA,NA,NA,NA,NA,
18.01,Alatskivi 1,Forest recovery following agricultural abandonment,NAC,1,NAC,9,Disturbance,Cultivation,NA,NA,NA,100,NA,NA,
18.02,Alatskivi 1,Forest recovery following agricultural abandonment,NAC,2,1995,8,Regrowth,Initiation of post-disturbance cohort (natural),1,*,NA,NA,NA,NA,
18.03,Alatskivi 1,Forest recovery following agricultural abandonment,NAC,3,1995,8,Establishment,Establishment of oldest trees,1,*,NA,NA,NA,NA,
18.04,Alatskivi 1,Forest recovery following agricultural abandonment,NAC,4,NI,9,Disturbance,Cut,NA,NA,NA,<100%,NA,NA,
19.01,Alatskivi 2,Forest recovery following agricultural abandonment,NAC,1,NAC,9,Disturbance,Cultivation,NA,NA,NA,100,NA,NA,
19.02,Alatskivi 2,Forest recovery following agricultural abandonment,NAC,2,1977,8,Regrowth,Initiation of post-disturbance cohort (natural),1,*,NA,NA,NA,NA,
19.03,Alatskivi 2,Forest recovery following agricultural abandonment,NAC,3,1977,8,Establishment,Establishment of oldest trees,1,*,NA,NA,NA,NA,
20.01,Alava,natural regeneration of abandoned agroforestry secondary forest,NAC,1,NI,9,Disturbance,Cultivation,NA,NA,NA,100,"agroforestry (taro, coconut, and/or breadfruit)",1648,
20.02,Alava,natural regeneration of abandoned agroforestry secondary forest,NAC,2,1950,8.5,Regrowth,Initiation of post-disturbance cohort (natural),0,NA,NA,NA,Abandoned 30-40 years prior to interview with landowner,1649,
20.03,Alava,natural regeneration of abandoned agroforestry secondary forest,NAC,3,1990,8,Disturbance,Major storm,NA,NA,NA,<100%,more affected by hurricane because more exposed,1650,
21.01,Alberga,mature 'old growth' forest,NAC,1,NAC,9,No.disturbance,No disturbance,NA,NA,NA,NA,NAC,NA,
22.01,Alberta AB10,"Pinus contorta-93%, Picea engelmanni-3%, Abies lasiocarpa-3%",0.1,1,1886,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
22.02,Alberta AB10,"Pinus contorta-93%, Picea engelmanni-3%, Abies lasiocarpa-3%",0.1,2,1886,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
23.01,Alberta AB11,"Pinus flexis-97%, Pinus strobus-3%",0.1,1,1864,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
23.02,Alberta AB11,"Pinus flexis-97%, Pinus strobus-3%",0.1,2,1864,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
24.01,Alberta AB12,"Pinus flexis-91%, Abies lasiocarpa-5%, Picea engelmanni-3%",0.1,1,1866,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
24.02,Alberta AB12,"Pinus flexis-91%, Abies lasiocarpa-5%, Picea engelmanni-3%",0.1,2,1866,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
25.01,Alberta AB13,"Pinus contorta-58%, Picea engelmanni-25%, Abies lasiocarpa-16%",0.1,1,1835,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
25.02,Alberta AB13,"Pinus contorta-58%, Picea engelmanni-25%, Abies lasiocarpa-16%",0.1,2,1835,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
26.01,Alberta AB14,"Pinus contorta-92%, Abies lasiocarpa-5%, Picea engelmanni-2%",0.1,1,1873,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
26.02,Alberta AB14,"Pinus contorta-92%, Abies lasiocarpa-5%, Picea engelmanni-2%",0.1,2,1873,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
27.01,Alberta AB15,Pinus contorta-100%,0.1,1,1855,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
27.02,Alberta AB15,Pinus contorta-100%,0.1,2,1855,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
28.01,Alberta AB16,Pinus contorta-100%,0.1,1,1887,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
28.02,Alberta AB16,Pinus contorta-100%,0.1,2,1887,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
29.01,Alberta AB17,"Pinus contorta-90%, Picea glauca-9%, Picea mariana-1%",0.82,1,1873,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
29.02,Alberta AB17,"Pinus contorta-90%, Picea glauca-9%, Picea mariana-1%",0.82,2,1873,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
30.01,Alberta AB18,"Picea glauca-47%, Populus tremuloides-24%, Abies balsamifera-12%, Pinus contorta-11%, Populus balsamifera-6%",0.4,1,1839,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
30.02,Alberta AB18,"Picea glauca-47%, Populus tremuloides-24%, Abies balsamifera-12%, Pinus contorta-11%, Populus balsamifera-6%",0.4,2,1839,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
31.01,Alberta AB19,"Pinus contorta-68%, Populus tremuloides-30%, Picea glauca-1%, Populus balsamifera-1%",0.32,1,1829,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
31.02,Alberta AB19,"Pinus contorta-68%, Populus tremuloides-30%, Picea glauca-1%, Populus balsamifera-1%",0.32,2,1829,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
32.01,Alberta AB20,"Populus tremuloides-95%, Picea glauca-5%",0.4,1,1867,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
32.02,Alberta AB20,"Populus tremuloides-95%, Picea glauca-5%",0.4,2,1867,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
33.01,Alberta AB21,"Picea glauca-59%, Abies balsamifera-17%, Pinus contorta-10%, Betula papyrifera-8%, Populus tremuloides-6%",0.16,1,1796,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
33.02,Alberta AB21,"Picea glauca-59%, Abies balsamifera-17%, Pinus contorta-10%, Betula papyrifera-8%, Populus tremuloides-6%",0.16,2,1796,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
34.01,Alberta AB22,"Picea mariana-97%, Pinus contorta-3%",0.1,1,1811,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
34.02,Alberta AB22,"Picea mariana-97%, Pinus contorta-3%",0.1,2,1811,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
35.01,Alberta AB23,"Abies lasiocarpa-43%, Picea engelmanni-39%, Pinus contorta-18%",0.1,1,1808,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
35.02,Alberta AB23,"Abies lasiocarpa-43%, Picea engelmanni-39%, Pinus contorta-18%",0.1,2,1808,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
36.01,Alberta AB24,"Picea engelmanni-74%, Abies lasiocarpa-15%, Pinus contorta-11%",0.1,1,1781,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
36.02,Alberta AB24,"Picea engelmanni-74%, Abies lasiocarpa-15%, Pinus contorta-11%",0.1,2,1781,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
37.01,Alberta AB25,"Pinus contorta-92%, Picea engelmanni-7%, Abies lasiocarpa-1%",0.1,1,1776,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
37.02,Alberta AB25,"Pinus contorta-92%, Picea engelmanni-7%, Abies lasiocarpa-1%",0.1,2,1776,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
38.01,Alberta AB26,"Pinus contorta-98%, Abies lasiocarpa-1%, Picea engelmanni-1%",0.1,1,1777,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
38.02,Alberta AB26,"Pinus contorta-98%, Abies lasiocarpa-1%, Picea engelmanni-1%",0.1,2,1777,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
39.01,Alberta AB27,"Pinus contorta-59%, Picea engelmanni-29%, Abies lasiocarpa-11%",0.1,1,1772,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
39.02,Alberta AB27,"Pinus contorta-59%, Picea engelmanni-29%, Abies lasiocarpa-11%",0.1,2,1772,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
40.01,Alberta AB28,"Abies lasiocarpa-73%, Picea engelmanni-25%, Pinus contorta-2%",0.1,1,1830,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
40.02,Alberta AB28,"Abies lasiocarpa-73%, Picea engelmanni-25%, Pinus contorta-2%",0.1,2,1830,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
41.01,Alberta AB29,"Populus tremuloides-44%, Picea glauca-42%, Populus balsamifera-14%, Pinus contorta-1%",0.32,1,1840,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
41.02,Alberta AB29,"Populus tremuloides-44%, Picea glauca-42%, Populus balsamifera-14%, Pinus contorta-1%",0.32,2,1840,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
42.01,Alberta AB30,"Picea mariana-98%, Picea glauca-2%",0.16,1,1821,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
42.02,Alberta AB30,"Picea mariana-98%, Picea glauca-2%",0.16,2,1821,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
43.01,Alberta AB31,"Pinus contorta-75%, Picea mariana-25%",0.32,1,1806,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
43.02,Alberta AB31,"Pinus contorta-75%, Picea mariana-25%",0.32,2,1806,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
44.01,Alberta AB5,"Picea mariana-78%, Pinus contorta-22%",0.1,1,1853,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
44.02,Alberta AB5,"Picea mariana-78%, Pinus contorta-22%",0.1,2,1853,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
45.01,Alberta AB6,Pinus banksiana-100%,0.1,1,1903,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
45.02,Alberta AB6,Pinus banksiana-100%,0.1,2,1903,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
46.01,Alberta AB7,Pinus contorta-100%,0.1,1,1880,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
46.02,Alberta AB7,Pinus contorta-100%,0.1,2,1880,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
47.01,Alberta AB8,Pinus contorta-100%,0.1,1,1898,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
47.02,Alberta AB8,Pinus contorta-100%,0.1,2,1898,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
48.01,Alberta AB9,"Pinus contorta-55%, Picea engelmanni-34%, Abies lasiocarpa-11%",0.1,1,1867,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
48.02,Alberta AB9,"Pinus contorta-55%, Picea engelmanni-34%, Abies lasiocarpa-11%",0.1,2,1867,8,No.disturbance,No disturbance,NA,NA,NA,NA,natural (unmanaged) mature boreal forests,NA,
49.01,Alberta,"Pinus contorta, Populus tremulous, Picea glauca",NAC,1,NAC,9,No.info,NAC,NA,NA,NA,NA,NA,NA,
50.01,Aleman,Premontane Rain Forest recovery following pasture abandonment,NAC,1,NI,9,Disturbance,Grazed,NA,NA,NA,100,history event derived from plot.name,NA,
50.02,Aleman,Premontane Rain Forest recovery following pasture abandonment,NAC,2,NI,9,Regrowth,Initiation of post-disturbance cohort (natural),0,NA,NA,NA,history event derived from plot.name,NA,
50.03,Aleman,Premontane Rain Forest recovery following pasture abandonment,NAC,3,NI,9,Establishment,Establishment of oldest trees,0,NA,NA,NA,NA,NA,
51.01,Aleza Lake,recently disturbed,NAC,1,1995,8,Disturbance,Cut,NA,100,%,100,Clear cut in 1995 and replanted,NA,
51.02,Aleza Lake,recently disturbed,NAC,2,1995,8,Regrowth,Planted,1,NA,NA,NA,Clear cut in 1995 and replanted,NA,
51.03,Aleza Lake,recently disturbed,NAC,3,1995,8,Establishment,Establishment of oldest trees,1,NA,NA,NA,Clear cut in 1995 and replanted,NA,
52.01,Alkkia Scots pine plantation,pine plantation on organic-soil cropland,0.628,1,1936,8,Management,Drained,NA,NA,NA,NA,the original Sphagnum fuscum bog was drained in 1936-1938,NA,
52.02,Alkkia Scots pine plantation,pine plantation on organic-soil cropland,0.628,2,1940,8,Management,Soil disturbance,NA,NA,NA,NA,a mineral soil admixture was introduced into the soil to improve them for cultivation,NA,
52.03,Alkkia Scots pine plantation,pine plantation on organic-soil cropland,0.628,3,1940,8,Disturbance,Tillage,NA,NA,NA,100,"From 1940-1969, the area had regular fertilization and soil prepartio nmeasures",NA,
52.04,Alkkia Scots pine plantation,pine plantation on organic-soil cropland,0.628,4,1971,8,Management,Fertilization_K,NA,87,kg ha-1,NA,NA,NA,
52.05,Alkkia Scots pine plantation,pine plantation on organic-soil cropland,0.628,5,1971,8,Management,Fertilization_P,NA,73,kg ha-1,NA,NA,NA,
52.06,Alkkia Scots pine plantation,pine plantation on organic-soil cropland,0.628,6,1971,8,Regrowth,Planted,1,NA,NA,NA,"planted with scots pine with 3, 5, and 8 m row spacings. naturally generated birch are observed in widely spaced pines",NA,
52.07,Alkkia Scots pine plantation,pine plantation on organic-soil cropland,0.628,7,1991,8,Management,Fertilization_P,NA,0-45,kg ha-1,NA,"0-45 kg ha-1, 0-131 kg ha-1",NA,
53.01,Allpahuayo A ALP11/ALP12,wet aseasonal forest,1,1,NI,9,No.disturbance,No disturbance,NA,NA,NA,NA,NA,2284,
54.01,Allpahuayo A clay-rich soils,terra firma clay-rich soils ALP-11,0.44,1,1904,8.5,No.disturbance,No disturbance,NA,NA,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2339,
55.01,Allpahuayo A sandy soils,terra firma sandy soils ALP-12,0.4,1,1904,8.5,No.disturbance,No disturbance,NA,NA,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2340,
56.01,Allpahuayo A,terra firma ALP-A,NAC,1,NI,9,No.info,NI,NA,NA,NA,NA,NA,5700,
57.01,Allpahuayo B clay-rich soils,terra firma clay-rich soils ALP-22,0.44,1,1904,8.5,No.disturbance,No disturbance,NA,NA,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2341,
58.01,Allpahuayo B sandy soils,terra firma sandy soils ALP-21,0.48,1,1904,8.5,No.disturbance,No disturbance,NA,NA,NA,NA,All plots were mixed-age old-growth humid forests with no evidence of major human-induced disturbance for at least a century. In most cases the forests are unlikely to have ever experienced a major anthropogenic disturbance. ,2342,
59.01,Allpahuayo B,terra firma ALP-B,NAC,1,NI,9,No.info,NI,NA,NA,NA,NA,NA,5702,
60.01,Allpahuayo C ALP30,wet aseasonal forest,1,1,NI,9,No.disturbance,No disturbance,NA,NA,NA,NA,NA,2285,
61.01,Allpahuayo C ALP30,white sand,NAC,1,NI,9,No.info,NI,NA,NA,NA,NA,NA,5703,
62.01,AM10,Forest recovery following clearing. A10,0.1,1,1983,8,Disturbance,Cut,NA,100,%,100,cleared not burned and then immediately abandoned without any cultivation,29,
62.02,AM10,Forest recovery following clearing. A10,0.1,2,1983,8,Regrowth,Initiation of post-disturbance cohort (natural),1,*,NA,NA,cleared not burned and then immediately abandoned without any cultivation,30,
62.03,AM10,Forest recovery following clearing. A10,0.1,3,1983,8,Establishment,Establishment of oldest trees,1,*,NA,NA,NA,31,
63.01,AM10,Forest recovery following long-term agriculture. A3,0.07,1,1985,8,Disturbance,Cut,NA,100,%,100,"Forest, slash-and-burn, 6 y rice",14,
63.02,AM10,Forest recovery following long-term agriculture. A3,0.07,2,1985,8,Disturbance,Burned,NA,NA,NA,100,"Forest, slash-and-burn, 6 y rice",15,
63.03,AM10,Forest recovery following long-term agriculture. A3,0.07,3,1985,8,Disturbance,Cultivation,NA,6,year,100,"Forest, slash-and-burn, 6 y rice",16,
63.04,AM10,Forest recovery following long-term agriculture. A3,0.07,4,1991,8,Regrowth,Initiation of post-disturbance cohort (natural),1,*,NA,NA,"Forest, slash-and-burn, 6 y rice",17,
63.05,AM10,Forest recovery following long-term agriculture. A3,0.07,5,1991,8,Establishment,Establishment of oldest trees,1,*,NA,NA,NA,18,
64.01,AM10,Forest recovery following long-term pasture. A12,0.08,1,1982,8,Disturbance,Cut,NA,100,%,100,"Forest, slash-and-burn, 6 y pasture",19,
64.02,AM10,Forest recovery following long-term pasture. A12,0.08,2,1982,8,Disturbance,Burned,NA,NA,NA,100,"Forest, slash-and-burn, 6 y pasture",20,
64.03,AM10,Forest recovery following long-term pasture. A12,0.08,3,1982,8,Disturbance,Grazed,NA,6,year,100,"Forest, slash-and-burn, 6 y pasture",21,
64.04,AM10,Forest recovery following long-term pasture. A12,0.08,4,1988,8,Regrowth,Initiation of post-disturbance cohort (natural),1,*,NA,NA,"Forest, slash-and-burn, 6 y pasture",22,
64.05,AM10,Forest recovery following long-term pasture. A12,0.08,5,1988,8,Establishment,Establishment of oldest trees,1,*,NA,NA,NA,23,
65.01,AM10,Forest recovery following long-term pasture. A9,0.07,1,1973,8,Disturbance,Cut,NA,100,%,100,"Forest, slash-and-burn, 7 y pasture",24,
65.02,AM10,Forest recovery following long-term pasture. A9,0.07,2,1973,8,Disturbance,Burned,NA,NA,NA,100,"Forest, slash-and-burn, 7 y pasture",25,
65.03,AM10,Forest recovery following long-term pasture. A9,0.07,3,1973,8,Disturbance,Grazed,NA,7,year,100,"Forest, slash-and-burn, 7 y pasture",26,
65.04,AM10,Forest recovery following long-term pasture. A9,0.07,4,1980,8,Regrowth,Initiation of post-disturbance cohort (natural),1,*,NA,NA,"Forest, slash-and-burn, 7 y pasture",27,
65.05,AM10,Forest recovery following long-term pasture. A9,0.07,5,1980,8,Establishment,Establishment of oldest trees,1,*,NA,NA,NA,28,
66.01,AM10,Forest recovery following short-term agriculture. A2,0.07,1,1984,8,Disturbance,Cut,NA,100,%,100,"Forest, slash-and-burn, 1 y rice",32,
66.02,AM10,Forest recovery following short-term agriculture. A2,0.07,2,1984,8,Disturbance,Burned,NA,NA,NA,100,"Forest, slash-and-burn, 1 y rice",33,
66.03,AM10,Forest recovery following short-term agriculture. A2,0.07,3,1984,8,Disturbance,Cultivation,NA,1,year,100,"Forest, slash-and-burn, 1 y rice",34,
66.04,AM10,Forest recovery following short-term agriculture. A2,0.07,4,1985,8,Regrowth,Initiation of post-disturbance cohort (natural),1,*,NA,NA,"Forest, slash-and-burn, 1 y rice",35,
66.05,AM10,Forest recovery following short-term agriculture. A2,0.07,5,1985,8,Establishment,Establishment of oldest trees,1,*,NA,NA,NA,36,
67.01,AM10,Forest recovery following short-term agriculture. A5,0.08,1,1983,8,Disturbance,Cut,NA,100,%,100,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",37,
67.02,AM10,Forest recovery following short-term agriculture. A5,0.08,2,1983,8,Disturbance,Burned,NA,NA,NA,100,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",38,
67.03,AM10,Forest recovery following short-term agriculture. A5,0.08,3,1983,8,Management,Seeded_agriculture,NA,NA,NA,NA,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",39,
67.04,AM10,Forest recovery following short-term agriculture. A5,0.08,4,1983,8,Regrowth,Initiation of post-disturbance cohort (natural),1,*,NA,NA,"Forest, slash-and-burn, seeded w/ rice only + abandoned, sandy hilltop",40,
67.05,AM10,Forest recovery following short-term agriculture. A5,0.08,5,1983,8,Establishment,Establishment of oldest trees,1,*,NA,NA,NA,41,
68.01,AM10,Forest recovery following short-term agriculture. A6,0.07,1,1974,8,Disturbance,Cut,NA,100,%,100,"Forest, slash-and-burn, 1 y rice",42,
68.02,AM10,Forest recovery following short-term agriculture. A6,0.07,2,1974,8,Disturbance,Burned,NA,NA,NA,100,"Forest, slash-and-burn, 1 y rice",43,
68.03,AM10,Forest recovery following short-term agriculture. A6,0.07,3,1974,8,Disturbance,Cultivation,NA,1,year,100,"Forest, slash-and-burn, 1 y rice",44,
68.04,AM10,Forest recovery following short-term agriculture. A6,0.07,4,1975,8,Regrowth,Initiation of post-disturbance cohort (natural),1,*,NA,NA,"Forest, slash-and-burn, 1 y rice",45,
