site.ID,sites.sitename,network,alt.names,super.site,city,state,country,lat,lon,masl,geography.notes,mat,min.temp,max.temp,map,climate.notes,soil.texture,sand,silt,clay,soil.classification,soil.notes,hydrology.notes,site.notes,geographic.area,biogeog,Koeppen,FAO.ecozone,site.ID.v1,measurement.refs,site.ref,ref.notes,lacks.info.from.ori.pub,loaded.from,loaded.by,potential_duplicate_group,potential_duplicate_group_parsed,confirmed.unique,potential.duplicates.manual,duplicate.notes
17,Alaskan coast,NA,NA,NA,NAC,Alaska,United States of America,58.37,-134.72,NAC,NA,10,NAC,NAC,3550,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,14,North America,Dfc,Temperate mountain system,NA,Leighty_2006_eomo,NA,Keith_2009_rofb; Liu_2014_htpa,NA,Keith_2009_rofb; Liu_2014_htpa,Maria,0,0,NA,NA,NA
18,Alatskivi 1,NA,NA,NA,NAC,Tartu,Estonia,58.55,27.083,NAC,NA,5.4,NAC,NAC,675,NA,sandy loam,NAC,NAC,NAC,Haplic Umbrisol,Haplic Umbrisol,NA,NA,15,Europe,Dfb,Temperate continental forest,NA,Uri_2012_bpac,NA,NA,NA,NA,NA,0,0,NA,NA,NA
19,Alatskivi 2,NA,NA,NA,NAC,Tartu,Estonia,58.617,27.03,NAC,NA,5.4,NAC,NAC,675,NA,sandy loam,NAC,NAC,NAC,Gleyic Umbrisol,Gleyic Umbrisol,NA,NA,15,Europe,Dfb,Temperate continental forest,NA,Uri_2012_bpac; Varik_2015_cbif,NA,NA,NA,NA,NA,0,0,NA,NA,NA
20,Alava,NA,NA,NA,Tutuila,Eastern District,American Samoa,-14.264369,-170.688202,NAC,ori coords fell in ocean. New coords from gmaps,26.9,NAC,NAC,3207,NA,clay,NAC,NAC,NAC,Mollisol,Lithic Hapludoll-Rock outcrop association,NAC,NA,16,Oceania,Af,Tropical rainforest,12,Webb_1999_daso,NA,NA,NA,NA,NA,7,1,1,NA,NA
21,Alberga,NA,NA,NA,NAC,Para,Suriname,5.341,-55.764,NAC,NA,NAC,NAC,NAC,2156,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,17,South America,Af,Tropical moist forest,1367,Poorter_2015_decs,NA,NA,NA,NA,NA,0,0,NA,NA,NA
22,Alberta,NA,NA,NA,NAC,Alberta,Canada,54.25,-117,NAC,NA,2.6,NAC,NAC,500,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,18,North America,Dfc,Boreal coniferous forest,NA,Banfield_2002_virs,NA,Keith_2009_rofb; Liu_2014_htpa,NA,Keith_2009_rofb; Liu_2014_htpa,Maria,0,0,NA,NA,NA
23,Alberta AB10,NA,NA,NA,NAC,Alberta,Canada,50.27,-114.59,1903,NA,0.8,NAC,NAC,626,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
24,Alberta AB11,NA,NA,NA,NAC,Alberta,Canada,50.26,-114.6,2010,NA,0.2,NAC,NAC,635,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
25,Alberta AB12,NA,NA,NA,NAC,Alberta,Canada,50.25,-114.6,2010,NA,0.2,NAC,NAC,636,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
26,Alberta AB13,NA,NA,NA,NAC,Alberta,Canada,50.22,-114.59,2010,NA,-0.1,NAC,NAC,646,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
27,Alberta AB14,NA,NA,NA,NAC,Alberta,Canada,50.25,-114.59,2010,NA,0.2,NAC,NAC,638,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
28,Alberta AB15,NA,NA,NA,NAC,Alberta,Canada,50.29,-114.57,1903,NA,0.8,NAC,NAC,622,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
29,Alberta AB16,NA,NA,NA,NAC,Alberta,Canada,51.45,-115.05,1532,NA,0.4,NAC,NAC,555,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,20,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
30,Alberta AB17,NA,NA,NA,NAC,Alberta,Canada,52.4,-115.67,1501,NA,0.8,NAC,NAC,569,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,21,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
31,Alberta AB18,NA,NA,NA,NAC,Alberta,Canada,54.51,-117.62,844,NA,2.2,NAC,NAC,597,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,22,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
32,Alberta AB19,NA,NA,NA,NAC,Alberta,Canada,56.79,-118.59,845,NA,-0.6,NAC,NAC,456,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,23,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
33,Alberta AB20,NA,NA,NA,NAC,Alberta,Canada,56.55,-119.31,815,NA,-0.1,NAC,NAC,439,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,24,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
34,Alberta AB21,NA,NA,NA,NAC,Alberta,Canada,57.13,-118.33,747,NA,-0.9,NAC,NAC,450,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,25,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
35,Alberta AB22,NA,NA,NA,NAC,Alberta,Canada,55.51,-114.25,746,NA,-0.9,NAC,NAC,524,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,26,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
36,Alberta AB23,NA,NA,NA,NAC,Alberta,Canada,50.14,-114.51,1882,NA,-0.7,NAC,NAC,652,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
37,Alberta AB24,NA,NA,NA,NAC,Alberta,Canada,50.15,-114.5,1882,NA,-0.5,NAC,NAC,646,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
38,Alberta AB25,NA,NA,NA,NAC,Alberta,Canada,50.16,-114.51,1882,NA,-1.2,NAC,NAC,651,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
39,Alberta AB26,NA,NA,NA,NAC,Alberta,Canada,50.16,-114.5,1882,NA,-1,NAC,NAC,649,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
40,Alberta AB27,NA,NA,NA,NAC,Alberta,Canada,50.2,-114.55,2448,NA,-0.6,NAC,NAC,649,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
41,Alberta AB28,NA,NA,NA,NAC,Alberta,Canada,50.19,-114.55,2448,NA,-0.9,NAC,NAC,652,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
42,Alberta AB29,NA,NA,NA,NAC,Alberta,Canada,53.03,-115.25,929,NA,1.8,NAC,NAC,543,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,27,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
43,Alberta AB30,NA,NA,NA,NAC,Alberta,Canada,53.28,-115.45,920,NA,1.6,NAC,NAC,559,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,28,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
44,Alberta AB31,NA,NA,NA,NAC,Alberta,Canada,55.14,-114.82,784,NA,-1.1,NAC,NAC,551,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,29,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
45,Alberta AB5,NA,NA,NA,NAC,Alberta,Canada,54.17,-116.77,881,NA,2.6,NAC,NAC,579,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,18,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
46,Alberta AB6,NA,NA,NA,NAC,Alberta,Canada,55.33,-111.84,661,NA,0.2,NAC,NAC,475,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,30,North America,Dfc,Boreal coniferous forest,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
47,Alberta AB7,NA,NA,NA,NAC,Alberta,Canada,49.38,-114.39,1490,NA,2.5,NAC,NAC,669,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,31,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
48,Alberta AB8,NA,NA,NA,NAC,Alberta,Canada,49.34,-114.15,1435,NA,1.5,NAC,NAC,648,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,31,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
49,Alberta AB9,NA,NA,NA,NAC,Alberta,Canada,50.18,-114.47,1882,NA,0,NAC,NAC,631,MAT and MAP from Liu2014,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,19,North America,Dfc,Temperate mountain system,NA,Ma_2012_rdri,NA,Liu_2014_htpa,NA,Liu_2014_htpa,Maria,0,0,NA,NA,NA
50,Aleman,NA,NA,NA,NAC,Alajuela,Costa Rica,10.3019,-84.7408,962,NA,21.6,NAC,NAC,5800,NA,NAC,NAC,NAC,NAC,Andisol,NA,NAC,NA,32,North America,Aw,Tropical rainforest,1306,Cifuentes-Jara_2008_abae,NA,NA,NA,Bonner_2013_amgc,NA,0,0,NA,NA,NA
51,Aleza Lake,NA,NA,NA,NAC,British Columbia,Canada,54.05,-122.05,NI,NA,3,NAC,NAC,900,NA,sandy loam,NAC,NAC,NAC,NAC,NA,NA,NA,33,North America,Dfc,Temperate mountain system,NA,Fredeen_2007_wdrs,Fredeen_2007_wdrs,NA,1,Luyssaert_2007_cbob,Maria,0,0,NA,NA,NA
52,Alkkia Scots pine plantation,NA,NA,NA,NAC,Satakunta,Finland,62.1764333,22.7836833,159,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NA,NA,34,Europe,Dfc,Boreal coniferous forest,NA,Lohila_2007_cdea,Lohila_2007_cdea,NA,NA,Baldocchi_2008_bott,Maria,11,1,NA,NA,NA
53,Allpahuayo A,NA,NA,NA,NAC,Loreto,Peru,-4,-73.4,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,35,South America,Af,Tropical rainforest,1421,Chao_2009_atdq,NA,NA,NA,Chao_2009_atdq,NA,0,0,NA,NA,NA
54,Allpahuayo A ALP11/ALP12,NA,NA,NA,NAC,Loreto,Peru,-3.95,-73.4333,120,NA,25.2,NAC,NAC,2689,NA,sandy loam,NAC,NAC,NAC,Alisol/Gleysol,"This site is located on an infertile, sandy upper soil layer; however, there is evidence that tree roots may have access to a deeper, more fertile soil and thus contribute to the high productivity observed (P.V.A. Fine, personal communications).",NAC,NA,35,South America,Af,Tropical rainforest,459,del Aguila-Pasquel_2014_tsco; Malhi_2017_tvop,del Aguila-Pasquel_2014_tsco,NA,NA,Malhi_2015_tlbp,NA,13,1,NAC,NA,needs review
55,Allpahuayo A clay-rich soils,NA,NA,NA,NAC,Loreto,Peru,-3.95,-73.43,120,NA,26.3,NAC,NAC,2762,Dry season length 0.77 mths,clay-rich,NAC,NAC,NAC,entisol (typic endoaquent),NA,terra firma,NA,35,South America,Af,Tropical rainforest,58,Baker_2004_ibia; Malhi_2004_tacw,NA,NA,NA,NA,NA,13,1,NAC,NA,needs review
56,Allpahuayo A sandy soils,NA,NA,NA,NAC,Loreto,Peru,-3.95,-73.43,120,NA,26.3,NAC,NAC,2762,Dry season length 0.77 mths,sandy,NAC,NAC,NAC,ultisol (typic paleudult),NA,terra firma,NA,35,South America,Af,Tropical rainforest,59,Baker_2004_ibia; Malhi_2004_tacw,NA,NA,NA,NA,NA,13,1,NAC,NA,needs review
57,Allpahuayo B,NA,NA,NA,NAC,Loreto,Peru,-4,-73.4,NAC,NA,NAC,NAC,NAC,NAC,NA,NAC,NAC,NAC,NAC,NAC,NA,NAC,NA,35,South America,Af,Tropical rainforest,1422,Chao_2009_atdq,NA,NA,NA,Chao_2009_atdq,NA,0,0,NA,NA,NA
58,Allpahuayo B clay-rich soils,NA,NA,NA,NAC,Loreto,Peru,-3.95,-73.43,114,NA,26.3,NAC,NAC,2763,Dry season length 0.77 mths,clay-rich,NAC,NAC,NAC,ultisol (typic hapludult),NA,terra firma,NA,35,South America,Af,Tropical rainforest,60,Baker_2004_ibia; Malhi_2004_tacw,Malhi_2004_tacw,NA,NA,NA,NA,13,1,NAC,NA,needs review
59,Allpahuayo B sandy soils,NA,NA,NA,NAC,Loreto,Peru,-3.95,-73.43,114,NA,26.3,NAC,NAC,2763,Dry season length 0.77 mths,sandy,NAC,NAC,NAC,entisol (spodic udipsamment),NA,terra firma,NA,35,South America,Af,Tropical rainforest,61,Baker_2004_ibia; Malhi_2004_tacw,Malhi_2004_tacw,NA,NA,NA,NA,13,1,NAC,NA,needs review
60,Allpahuayo C ALP30,NA,NA,NA,NAC,Loreto,Peru,-3.9543,-73.4267,150,NA,25.2,NAC,NAC,2689,NA,loamy sand,NAC,NAC,NAC,Arenosol,NA,NAC,NA,35,South America,Af,Tropical rainforest,460,Chao_2009_atdq; del Aguila-Pasquel_2014_tsco; Malhi_2017_tvop,del Aguila-Pasquel_2014_tsco,NA,NA,NA,NA,13,1,NAC,NA,needs review
61,AM10,NA,NA,NA,Manaus,Amazonas,Brazil,-3.06,-60,NAC,NA,25.6,NAC,NAC,2100,NA,clay,NAC,NAC,NAC,Oxisol,Mostly clayey oxisols with patches of sandy soils in valley bottoms (AM10).,NAC,NA,36,South America,Af,Tropical rainforest,82,Steininger_2000_sfsa,NA,NA,NA,Anderson_2006_toba,NA,0,0,NA,NA,NA
62,Amacayacu E,NA,NA,NA,NAC,Amazonas,Colombia,-3.72,-70.3,NAC,NA,NAC,NAC,NAC,2888,rainfall seasonality index SR (%) = 0.13,NAC,NAC,NAC,NAC,Plinthosol,NA,NAC,NA,6,South America,Af,Tropical rainforest,1167,Aragao_2009_aabn; Chave_2010_rasp,NA,NA,NA,Chave_2010_rasp,NA,0,0,NA,NA,NA
63,Amacayacu U,NA,NA,NA,NAC,Amazonas,Colombia,-3.72,-70.3,NAC,NA,NAC,NAC,NAC,2888,rainfall seasonality index SR (%) = 0.13,NAC,NAC,NAC,NAC,Plinthosol,NA,NAC,NA,6,South America,Af,Tropical rainforest,1168,Aragao_2009_aabn; Chave_2010_rasp,NA,NA,NA,Chave_2010_rasp,NA,0,0,NA,NA,NA
64,Amalau,NA,NA,NA,Tutuila,Eastern District,American Samoa,-14.256152,-170.661824,NAC,ori coords fell in ocean. New coords from gmaps,26.9,NAC,NAC,3207,NA,stony silty clay loam (talus),NAC,NAC,NAC,NAC,"very stony silty clay loam (Nakamura 1984), hereafter referred to as 'talus' and characterized by a loose layer of variable-sized stones and rocks overlaying a clay soil",NAC,NA,16,Oceania,Af,Tropical rainforest,13,Webb_1999_daso,NA,NA,NA,NA,NA,7,1,1,NA,NA
65,Anandgoan,NA,NA,NA,NAC,Chhattisgarh,India,21.9,81.55,300,NA,27.75,13.2,42.3,1200,NA,clay,NAC,NAC,NAC,Entisol,The soil of the study area is red laterite derived from metamorphicrock with stones and ferruginous gravel and classifed as Entisols.,NAC,NA,37,Asia,Aw,Tropical dry forest,397,Swamy_2004_tgba,NA,NA,NA,Swamy_2004_tgba,NA,0,0,1,NA,NA
66,"Anangu, A1",NA,NA,NA,NAC,Orellana,Ecuador,-0.53,-76.43,250,NA,25.77,NAC,NAC,3252,Dry season length 0.31 mths,NAC,NAC,NAC,NAC,ultisol,NA,seasonally flooded,NA,38,South America,Af,Tropical rainforest,466,Malhi_2004_tacw,NA,Korning (1992),NA,Malhi_2004_tacw,NA,0,0,NA,NA,NA
67,"Anangu, A2",NA,NA,NA,NAC,Orellana,Ecuador,-0.53,-76.43,310,NA,25.47,NAC,NAC,3252,Dry season length 0.31 mths,NAC,NAC,NAC,NAC,ultisol,NA,terra firma,NA,38,South America,Af,Tropical rainforest,467,Malhi_2004_tacw,NA,Korning (1992),NA,Malhi_2004_tacw,NA,0,0,NA,NA,NA
68,"Anangu, A3",NA,NA,NA,NAC,Orellana,Ecuador,-0.53,-76.43,370,NA,25.17,NAC,NAC,3252,Dry season length 0.31 mths,NAC,NAC,NAC,NAC,ultisol,NA,terra firma,NA,38,South America,Af,Tropical rainforest,468,Malhi_2004_tacw,NA,Korning (1992),NA,Malhi_2004_tacw,NA,0,0,NA,NA,NA
69,Andrews 1,NA,NA,H.J. Andrews Experimental Forest,Blue River,Oregon,United States of America,44.2576,-122.2012,780,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NAC,NAC,NAC,NA,NA,NA,39,North America,Csb,Temperate mountain system,NA,Luyssaert_2007_cbob,Law_2004_dace,NA,1,Luyssaert_2007_cbob,Maria,17,1,supersite,NA,needs merge
70,Andrews 10,NA,NA,H.J. Andrews Experimental Forest,Blue River,Oregon,United States of America,44.2479,-122.2008,785,NA,NAC,NAC,NAC,NAC,NA,loam,NAC,NAC,NAC,NAC,NA,NA,NA,39,North America,Csb,Temperate mountain system,NA,DeAngelis_1981_pofe; Luyssaert_2007_cbob,Law_2004_dace,NA,1,Luyssaert_2007_cbob,Maria,17,1,supersite,NA,needs merge
